Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
1810	43.5316	3.0247			46.1426	2.0773	32.8950	2129.1429
1811	43.5446	3.0255			44.2086	2.0767	32.8950	1954.4005
1812	43.5576	3.0264			47.0267	2.0761	32.8950	2211.5142
1813	43.5706	3.0272			50.8492	2.0756	32.8950	2585.6406
1814	43.5836	3.0281			55.5604	2.0750	32.8950	3086.9566
1815	43.5966	3.0290			55.5210	2.0744	32.8950	3082.5761
1816	43.6096	3.0298			51.3328	2.0738	32.8950	2635.0610
1817	43.6226	3.0307			42.6917	2.0732	32.8950	1822.5793
1818	43.6356	3.0315			35.2664	2.0726	32.8950	1243.7209
1819	43.6486	3.0324			30.4324	2.0720	32.8950	926.1292
1820	43.6616	3.0332			27.3234	2.0714	32.8950	746.5666
1821	43.6746	3.0341			26.2855	2.0709	32.8950	690.9298
1822	43.6876	3.0350			25.4365	2.0703	32.8950	647.0148
1823	43.7006	3.0358			24.1300	2.0697	32.8950	582.2555
1824	43.7136	3.0367			24.3038	2.0691	32.8950	590.6746
1825	43.7266	3.0375			23.4247	2.0685	32.8950	548.7177
1826	43.7396	3.0384			22.6448	2.0679	32.8950	512.7873
1827	43.7526	3.0393			22.3647	2.0673	32.8950	500.1813
1828	43.7656	3.0401			22.9923	2.0668	32.8950	528.6462
1829	43.7786	3.0410			22.5198	2.0662	32.8950	507.1392
1830	43.7916	3.0418			22.0058	2.0656	32.8950	484.2537
1831	43.8046	3.0427			21.3282	2.0650	32.8950	454.8924
1832	43.8176	3.0436			21.4473	2.0644	32.8950	459.9871
1833	43.8306	3.0444			21.7036	2.0638	32.8950	471.0457
1834	43.8436	3.0453			21.3337	2.0633	32.8950	455.1269
1835	43.8566	3.0461			20.8939	2.0627	32.8950	436.5552
1836	43.8696	3.0470			21.2048	2.0621	32.8950	449.6440
1837	43.8826	3.0478			20.5023	2.0615	32.8950	420.3462
1838	43.8956	3.0487			20.7255	2.0609	32.8950	429.5454
1839	43.9086	3.0496			21.0568	2.0604	32.8950	443.3908
1840	43.9216	3.0504			21.7163	2.0598	32.8950	471.5979
1841	43.9346	3.0513			21.4115	2.0592	32.8950	458.4542
1842	43.9476	3.0521			21.1156	2.0586	32.8950	445.8688
1843	43.9606	3.0530			21.1227	2.0580	32.8950	446.1693
1844	43.9736	3.0539			21.5434	2.0575	32.8950	464.1166
1845	43.9866	3.0547			20.9272	2.0569	32.8950	437.9464
1846	43.9996	3.0556			20.7088	2.0563	32.8950	428.8534
1847	44.0126	3.0564			20.1593	2.0557	32.8950	406.3967
1848	44.0256	3.0573			19.9760	2.0552	32.8950	399.0410
1849	44.0386	3.0581			20.0415	2.0546	32.8950	401.6636
1850	44.0516	3.0590			20.2930	2.0540	32.8950	411.8049
1851	44.0646	3.0599			20.5463	2.0534	32.8950	422.1499
1852	44.0776	3.0607			20.6462	2.0528	32.8950	426.2676
1853	44.0906	3.0616			20.0043	2.0523	32.8950	400.1727
1854	44.1036	3.0624			19.8450	2.0517	32.8950	393.8235
1855	44.1166	3.0633			19.9092	2.0511	32.8950	396.3757
1856	44.1296	3.0641			20.1907	2.0506	32.8950	407.6648
1857	44.1426	3.0650			20.0306	2.0500	32.8950	401.2266
1858	44.1556	3.0659			19.4997	2.0494	32.8950	380.2373
1859	44.1686	3.0667			19.6751	2.0488	32.8950	387.1089
1860	44.1816	3.0676			20.3353	2.0483	32.8950	413.5242
1861	44.1946	3.0684			20.5737	2.0477	32.8950	423.2774
1862	44.2076	3.0693			20.0705	2.0471	32.8950	402.8240
1863	44.2206	3.0701			19.9241	2.0465	32.8950	396.9687
1864	44.2336	3.0710			20.0084	2.0460	32.8950	400.3378
1865	44.2466	3.0719			19.8619	2.0454	32.8950	394.4952
1866	44.2596	3.0727			19.6741	2.0448	32.8950	387.0714
1867	44.2726	3.0736			19.7531	2.0443	32.8950	390.1845
1868	44.2856	3.0744			19.9775	2.0437	32.8950	399.0998
1869	44.2986	3.0753			19.4284	2.0431	32.8950	377.4644
1870	44.3116	3.0761			19.1886	2.0426	32.8950	368.2011
1871	44.3246	3.0770			19.4018	2.0420	32.8950	376.4301
1872	44.3376	3.0779			19.7833	2.0414	32.8950	391.3805
1873	44.3506	3.0787			20.0538	2.0408	32.8950	402.1532
1874	44.3636	3.0796			19.4248	2.0403	32.8950	377.3242
1875	44.3766	3.0804			19.6380	2.0397	32.8950	385.6504
1876	44.3896	3.0813			19.4509	2.0391	32.8950	378.3383
1877	44.4026	3.0821			19.1699	2.0386	32.8950	367.4866
1878	44.4156	3.0830			19.7204	2.0380	32.8950	388.8925
1879	44.4286	3.0839			19.8113	2.0374	32.8950	392.4863
1880	44.4416	3.0847			19.5552	2.0369	32.8950	382.4078
1881	44.4546	3.0856			20.0057	2.0363	32.8950	400.2292
1882	44.4676	3.0864			19.9554	2.0357	32.8950	398.2181
1883	44.4806	3.0873			19.4048	2.0352	32.8950	376.5458
1884	44.4936	3.0881			19.7618	2.0346	32.8950	390.5304
1885	44.5066	3.0890			19.8149	2.0341	32.8950	392.6299
1886	44.5196	3.0899			19.7719	2.0335	32.8950	390.9291
1887	44.5326	3.0907			20.2169	2.0329	32.8950	408.7249
1888	44.5456	3.0916			20.3297	2.0324	32.8950	413.2976
1889	44.5586	3.0924			20.1577	2.0318	32.8950	406.3337
1890	44.5716	3.0933			20.1967	2.0312	32.8950	407.9050
1891	44.5846	3.0941			19.4777	2.0307	32.8950	379.3800
1892	44.5976	3.0950			20.4265	2.0301	32.8950	417.2399
1893	44.6106	3.0958			20.7687	2.0296	32.8950	431.3371
1894	44.6236	3.0967			19.3527	2.0290	32.8950	374.5268
1895	44.6366	3.0976			19.3180	2.0284	32.8950	373.1863
1896	44.6496	3.0984			20.3816	2.0279	32.8950	415.4083
1897	44.6626	3.0993			20.1930	2.0273	32.8950	407.7554
1898	44.6756	3.1001			19.5081	2.0267	32.8950	380.5653
1899	44.6886	3.1010			19.2366	2.0262	32.8950	370.0478
1900	44.7016	3.1018			20.4593	2.0256	32.8950	418.5821
1901	44.7146	3.1027			20.0535	2.0251	32.8950	402.1428
1902	44.7276	3.1036			18.7680	2.0245	32.8950	352.2393
1903	44.7406	3.1044			19.0978	2.0240	32.8950	364.7277
1904	44.7536	3.1053			19.8359	2.0234	32.8950	393.4644
1905	44.7666	3.1061			19.1826	2.0228	32.8950	367.9714
1906	44.7796	3.1070			19.5016	2.0223	32.8950	380.3123
1907	44.7926	3.1078			20.4896	2.0217	32.8950	419.8238
1908	44.8056	3.1087			20.4183	2.0212	32.8950	416.9057
1909	44.8186	3.1095			20.1523	2.0206	32.8950	406.1155
1910	44.8316	3.1104			20.8035	2.0201	32.8950	432.7839
1911	44.8446	3.1113			19.9334	2.0195	32.8950	397.3388
1912	44.8576	3.1121			20.0883	2.0189	32.8950	403.5383
1913	44.8706	3.1130			19.7687	2.0184	32.8950	390.8008
1914	44.8836	3.1138			18.7287	2.0178	32.8950	350.7638
1915	44.8966	3.1147			19.7684	2.0173	32.8950	390.7910
1916	44.9096	3.1155			19.1580	2.0167	32.8950	367.0292
1917	44.9226	3.1164			19.5911	2.0162	32.8950	383.8107
1918	44.9356	3.1172			19.2685	2.0156	32.8950	371.2738
1919	44.9486	3.1181			19.6843	2.0151	32.8950	387.4733
1920	44.9616	3.1189			20.0835	2.0145	32.8950	403.3455
