Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
839	30.9106	2.1737			22.0480	2.8906	32.8950	486.1148
840	30.9236	2.1746			21.3259	2.8894	32.8950	454.7955
841	30.9366	2.1755			21.2991	2.8882	32.8950	453.6526
842	30.9496	2.1764			21.7423	2.8870	32.8950	472.7282
843	30.9626	2.1772			21.6205	2.8858	32.8950	467.4462
844	30.9756	2.1781			22.2189	2.8847	32.8950	493.6813
845	30.9886	2.1790			22.0760	2.8835	32.8950	487.3515
846	31.0016	2.1799			21.9371	2.8823	32.8950	481.2348
847	31.0146	2.1808			21.9718	2.8811	32.8950	482.7599
848	31.0276	2.1817			21.8408	2.8799	32.8950	477.0210
849	31.0406	2.1826			21.9285	2.8788	32.8950	480.8588
