Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
5331	89.2986	5.7323			44.0648	1.0961	32.8950	1941.7091
5332	89.3116	5.7330			42.7710	1.0960	32.8950	1829.3555
5333	89.3246	5.7336			43.4311	1.0958	32.8950	1886.2624
5334	89.3376	5.7343			43.6836	1.0957	32.8950	1908.2530
5335	89.3506	5.7350			43.6997	1.0956	32.8950	1909.6604
5336	89.3636	5.7356			43.5338	1.0955	32.8950	1895.1930
5337	89.3766	5.7363			43.8640	1.0953	32.8950	1924.0528
5338	89.3896	5.7369			43.2663	1.0952	32.8950	1871.9729
5339	89.4026	5.7376			43.0060	1.0951	32.8950	1849.5137
5340	89.4156	5.7382			42.8746	1.0950	32.8950	1838.2330
5341	89.4286	5.7389			43.8835	1.0948	32.8950	1925.7618
5342	89.4416	5.7396			43.7063	1.0947	32.8950	1910.2384
5343	89.4546	5.7402			44.2466	1.0946	32.8950	1957.7621
5344	89.4676	5.7409			42.9042	1.0945	32.8950	1840.7706
5345	89.4806	5.7415			43.4371	1.0943	32.8950	1886.7848
5346	89.4936	5.7422			43.5731	1.0942	32.8950	1898.6180
5347	89.5066	5.7428			42.6804	1.0941	32.8950	1821.6163
5348	89.5196	5.7435			42.6713	1.0940	32.8950	1820.8363
5349	89.5326	5.7442			43.2935	1.0938	32.8950	1874.3241
5350	89.5456	5.7448			43.6339	1.0937	32.8950	1903.9165
5351	89.5586	5.7455			43.2363	1.0936	32.8950	1869.3734
5352	89.5716	5.7461			43.1658	1.0935	32.8950	1863.2828
5353	89.5846	5.7468			42.8187	1.0933	32.8950	1833.4379
5354	89.5976	5.7474			44.2745	1.0932	32.8950	1960.2271
5355	89.6106	5.7481			43.8385	1.0931	32.8950	1921.8135
5356	89.6236	5.7488			43.1212	1.0930	32.8950	1859.4386
5357	89.6366	5.7494			43.2317	1.0928	32.8950	1868.9788
5358	89.6496	5.7501			42.8045	1.0927	32.8950	1832.2282
5359	89.6626	5.7507			42.7298	1.0926	32.8950	1825.8363
5360	89.6756	5.7514			43.0496	1.0925	32.8950	1853.2700
5361	89.6886	5.7520			42.3326	1.0923	32.8950	1792.0517
5362	89.7016	5.7527			42.5354	1.0922	32.8950	1809.2608
5363	89.7146	5.7534			43.2109	1.0921	32.8950	1867.1856
5364	89.7276	5.7540			43.0860	1.0920	32.8950	1856.3997
5365	89.7406	5.7547			43.5589	1.0918	32.8950	1897.3819
5366	89.7536	5.7553			43.5744	1.0917	32.8950	1898.7307
5367	89.7666	5.7560			43.2700	1.0916	32.8950	1872.2927
5368	89.7796	5.7566			43.4701	1.0915	32.8950	1889.6505
5369	89.7926	5.7573			43.2860	1.0913	32.8950	1873.6769
5370	89.8056	5.7579			43.4207	1.0912	32.8950	1885.3600
5371	89.8186	5.7586			43.7634	1.0911	32.8950	1915.2338
5372	89.8316	5.7593			44.3764	1.0910	32.8950	1969.2670
5373	89.8446	5.7599			43.9013	1.0908	32.8950	1927.3284
5374	89.8576	5.7606			42.6842	1.0907	32.8950	1821.9430
5375	89.8706	5.7612			42.9213	1.0906	32.8950	1842.2350
5376	89.8836	5.7619			42.6724	1.0905	32.8950	1820.9322
5377	89.8966	5.7625			42.8693	1.0904	32.8950	1837.7765
5378	89.9096	5.7632			43.5794	1.0902	32.8950	1899.1613
5379	89.9226	5.7638			44.1193	1.0901	32.8950	1946.5136
5380	89.9356	5.7645			43.8128	1.0900	32.8950	1919.5574
5381	89.9486	5.7651			43.2324	1.0899	32.8950	1869.0442
5382	89.9616	5.7658			42.5063	1.0897	32.8950	1806.7864
5383	89.9746	5.7665			42.4655	1.0896	32.8950	1803.3187
5384	89.9876	5.7671			43.2551	1.0895	32.8950	1870.9995
5385	90.0006	5.7678			43.7570	1.0894	32.8950	1914.6746
5386	90.0136	5.7684			43.3336	1.0892	32.8950	1877.8028
5387	90.0266	5.7691			43.5731	1.0891	32.8950	1898.6124
5388	90.0396	5.7697			44.2803	1.0890	32.8950	1960.7474
5389	90.0526	5.7704			44.0130	1.0889	32.8950	1937.1423
5390	90.0656	5.7710			43.2766	1.0887	32.8950	1872.8644
5391	90.0786	5.7717			43.4872	1.0886	32.8950	1891.1333
5392	90.0916	5.7723			43.7861	1.0885	32.8950	1917.2256
5393	90.1046	5.7730			43.9084	1.0884	32.8950	1927.9443
5394	90.1176	5.7737			44.2151	1.0883	32.8950	1954.9780
5395	90.1306	5.7743			43.8295	1.0881	32.8950	1921.0269
5396	90.1436	5.7750			43.1659	1.0880	32.8950	1863.2952
5397	90.1566	5.7756			42.8533	1.0879	32.8950	1836.4076
5398	90.1696	5.7763			42.8951	1.0878	32.8950	1839.9863
5399	90.1826	5.7769			43.3032	1.0876	32.8950	1875.1667
5400	90.1956	5.7776			43.9763	1.0875	32.8950	1933.9157
5401	90.2086	5.7782			44.1638	1.0874	32.8950	1950.4420
5402	90.2216	5.7789			43.6346	1.0873	32.8950	1903.9764
5403	90.2346	5.7795			42.8676	1.0871	32.8950	1837.6298
5404	90.2476	5.7802			42.4402	1.0870	32.8950	1801.1666
5405	90.2606	5.7808			43.1441	1.0869	32.8950	1861.4118
5406	90.2736	5.7815			43.7102	1.0868	32.8950	1910.5779
5407	90.2866	5.7821			43.7328	1.0867	32.8950	1912.5591
5408	90.2996	5.7828			43.1740	1.0865	32.8950	1863.9962
5409	90.3126	5.7834			43.1881	1.0864	32.8950	1865.2137
5410	90.3256	5.7841			43.8741	1.0863	32.8950	1924.9352
5411	90.3386	5.7848			43.9503	1.0862	32.8950	1931.6325
5412	90.3516	5.7854			43.2478	1.0860	32.8950	1870.3705
5413	90.3646	5.7861			42.2910	1.0859	32.8950	1788.5314
5414	90.3776	5.7867			43.0654	1.0858	32.8950	1854.6298
5415	90.3906	5.7874			43.5626	1.0857	32.8950	1897.7034
5416	90.4036	5.7880			43.4036	1.0856	32.8950	1883.8729
5417	90.4166	5.7887			43.6383	1.0854	32.8950	1904.3022
5418	90.4296	5.7893			43.4179	1.0853	32.8950	1885.1115
5419	90.4426	5.7900			42.3778	1.0852	32.8950	1795.8776
5420	90.4556	5.7906			43.6200	1.0851	32.8950	1902.7064
5421	90.4686	5.7913			43.8835	1.0849	32.8950	1925.7640
5422	90.4816	5.7919			43.0702	1.0848	32.8950	1855.0435
5423	90.4946	5.7926			42.9816	1.0847	32.8950	1847.4214
5424	90.5076	5.7932			43.1593	1.0846	32.8950	1862.7220
5425	90.5206	5.7939			43.2582	1.0845	32.8950	1871.2699
5426	90.5336	5.7945			43.3224	1.0843	32.8950	1876.8285
5427	90.5466	5.7952			43.4525	1.0842	32.8950	1888.1178
5428	90.5596	5.7958			43.8583	1.0841	32.8950	1923.5518
5429	90.5726	5.7965			42.2713	1.0840	32.8950	1786.8653
5430	90.5856	5.7971			43.5989	1.0838	32.8950	1900.8623
5431	90.5986	5.7978			44.4818	1.0837	32.8950	1978.6344
5432	90.6116	5.7984			44.3842	1.0836	32.8950	1969.9542
5433	90.6246	5.7991			43.7113	1.0835	32.8950	1910.6740
5434	90.6376	5.7997			42.5190	1.0834	32.8950	1807.8681
5435	90.6506	5.8004			42.2373	1.0832	32.8950	1783.9863
5436	90.6636	5.8010			43.1718	1.0831	32.8950	1863.8067
5437	90.6766	5.8017			43.4152	1.0830	32.8950	1884.8802
5438	90.6896	5.8023			43.0343	1.0829	32.8950	1851.9515
5439	90.7026	5.8030			42.8056	1.0827	32.8950	1832.3200
5440	90.7156	5.8036			42.6297	1.0826	32.8950	1817.2932
5441	90.7286	5.8043			42.7413	1.0825	32.8950	1826.8157
5442	90.7416	5.8049			43.1600	1.0824	32.8950	1862.7896
5443	90.7546	5.8056			43.8613	1.0823	32.8950	1923.8143
5444	90.7676	5.8062			43.1100	1.0821	32.8950	1858.4692
5445	90.7806	5.8069			43.0817	1.0820	32.8950	1856.0341
5446	90.7936	5.8075			43.6869	1.0819	32.8950	1908.5445
5447	90.8066	5.8082			43.4937	1.0818	32.8950	1891.7006
5448	90.8196	5.8088			42.7784	1.0817	32.8950	1829.9951
5449	90.8326	5.8095			43.3569	1.0815	32.8950	1879.8236
5450	90.8456	5.8101			43.2859	1.0814	32.8950	1873.6664
5451	90.8586	5.8108			43.8926	1.0813	32.8950	1926.5592
5452	90.8716	5.8114			43.4834	1.0812	32.8950	1890.8055
5453	90.8846	5.8121			43.4916	1.0811	32.8950	1891.5180
5454	90.8976	5.8127			43.4457	1.0809	32.8950	1887.5317
5455	90.9106	5.8134			43.3785	1.0808	32.8950	1881.6975
5456	90.9236	5.8140			43.1280	1.0807	32.8950	1860.0282
5457	90.9366	5.8147			42.1504	1.0806	32.8950	1776.6572
5458	90.9496	5.8153			43.5473	1.0805	32.8950	1896.3667
5459	90.9626	5.8160			44.0849	1.0803	32.8950	1943.4776
5460	90.9756	5.8166			43.9088	1.0802	32.8950	1927.9808
5461	90.9886	5.8173			43.0670	1.0801	32.8950	1854.7662
5462	91.0016	5.8179			43.1885	1.0800	32.8950	1865.2430
5463	91.0146	5.8186			43.2644	1.0798	32.8950	1871.8044
5464	91.0276	5.8192			43.4955	1.0797	32.8950	1891.8611
5465	91.0406	5.8199			42.8463	1.0796	32.8950	1835.8072
5466	91.0536	5.8205			43.9203	1.0795	32.8950	1928.9932
5467	91.0666	5.8212			44.1362	1.0794	32.8950	1948.0005
5468	91.0796	5.8218			43.4355	1.0792	32.8950	1886.6386
5469	91.0926	5.8225			43.3322	1.0791	32.8950	1877.6828
5470	91.1056	5.8231			43.6829	1.0790	32.8950	1908.1917
5471	91.1186	5.8238			43.6291	1.0789	32.8950	1903.5002
5472	91.1316	5.8244			43.3769	1.0788	32.8950	1881.5535
5473	91.1446	5.8251			43.6015	1.0786	32.8950	1901.0903
5474	91.1576	5.8257			43.3512	1.0785	32.8950	1879.3246
5475	91.1706	5.8264			43.0585	1.0784	32.8950	1854.0352
5476	91.1836	5.8270			42.8742	1.0783	32.8950	1838.1940
5477	91.1966	5.8276			43.2927	1.0782	32.8950	1874.2582
5478	91.2096	5.8283			43.3127	1.0780	32.8950	1875.9896
5479	91.2226	5.8289			43.3985	1.0779	32.8950	1883.4315
5480	91.2356	5.8296			43.7127	1.0778	32.8950	1910.7993
5481	91.2486	5.8302			42.9495	1.0777	32.8950	1844.6566
