Nr.	Pos. [°2Th.]	Q [1/Å]	Iberechn. [cts]	Iback [cts]	Std.Abw.	d-Werte	CT [s]	Intensity [Counts]
2594	53.7256	3.6857			19.0736	1.7047	32.8950	363.8005
2595	53.7386	3.6865			18.9980	1.7044	32.8950	360.9230
2596	53.7516	3.6874			18.3324	1.7040	32.8950	336.0776
2597	53.7646	3.6882			19.2497	1.7036	32.8950	370.5498
2598	53.7776	3.6890			19.2399	1.7032	32.8950	370.1719
2599	53.7906	3.6898			19.4824	1.7028	32.8950	379.5630
2600	53.8036	3.6907			19.1398	1.7025	32.8950	366.3312
2601	53.8166	3.6915			19.3388	1.7021	32.8950	373.9900
2602	53.8296	3.6923			19.2504	1.7017	32.8950	370.5762
2603	53.8426	3.6931			19.2802	1.7013	32.8950	371.7249
2604	53.8556	3.6940			19.1581	1.7009	32.8950	367.0334
2605	53.8686	3.6948			19.2747	1.7006	32.8950	371.5131
2606	53.8816	3.6956			19.1339	1.7002	32.8950	366.1045
2607	53.8946	3.6964			18.8486	1.6998	32.8950	355.2715
2608	53.9076	3.6973			19.7362	1.6994	32.8950	389.5184
2609	53.9206	3.6981			20.0610	1.6990	32.8950	402.4438
2610	53.9336	3.6989			19.3845	1.6987	32.8950	375.7602
2611	53.9466	3.6997			19.1526	1.6983	32.8950	366.8223
2612	53.9596	3.7006			19.3367	1.6979	32.8950	373.9071
2613	53.9726	3.7014			19.3025	1.6975	32.8950	372.5853
2614	53.9856	3.7022			19.2517	1.6971	32.8950	370.6286
2615	53.9986	3.7030			19.9548	1.6968	32.8950	398.1954
2616	54.0116	3.7038			17.7506	1.6964	32.8950	315.0839
2617	54.0246	3.7047			19.2545	1.6960	32.8950	370.7352
2618	54.0376	3.7055			19.6571	1.6956	32.8950	386.4001
2619	54.0506	3.7063			19.2325	1.6953	32.8950	369.8894
2620	54.0636	3.7071			20.1712	1.6949	32.8950	406.8787
2621	54.0766	3.7080			19.9440	1.6945	32.8950	397.7615
2622	54.0896	3.7088			18.2051	1.6941	32.8950	331.4263
2623	54.1026	3.7096			19.5487	1.6938	32.8950	382.1532
2624	54.1156	3.7104			20.6361	1.6934	32.8950	425.8469
2625	54.1286	3.7113			19.7579	1.6930	32.8950	390.3729
2626	54.1416	3.7121			19.5287	1.6926	32.8950	381.3684
2627	54.1546	3.7129			19.8073	1.6923	32.8950	392.3283
2628	54.1676	3.7137			19.1532	1.6919	32.8950	366.8451
2629	54.1806	3.7146			19.5355	1.6915	32.8950	381.6353
2630	54.1936	3.7154			19.5704	1.6911	32.8950	383.0000
2631	54.2066	3.7162			19.6626	1.6908	32.8950	386.6173
2632	54.2196	3.7170			19.6723	1.6904	32.8950	387.0000
2633	54.2326	3.7179			20.2702	1.6900	32.8950	410.8813
2634	54.2456	3.7187			20.0220	1.6896	32.8950	400.8815
2635	54.2586	3.7195			20.6350	1.6893	32.8950	425.8041
2636	54.2716	3.7203			19.7441	1.6889	32.8950	389.8279
2637	54.2846	3.7212			19.0453	1.6885	32.8950	362.7247
2638	54.2976	3.7220			19.2316	1.6881	32.8950	369.8534
2639	54.3106	3.7228			20.6905	1.6878	32.8950	428.0971
2640	54.3236	3.7236			20.2446	1.6874	32.8950	409.8437
2641	54.3366	3.7244			20.7066	1.6870	32.8950	428.7636
